cap.english,cap.universal,display_scores.english.astroturf,display_scores.english.fake_follower,display_scores.english.financial,display_scores.english.other,display_scores.english.overall,display_scores.english.self_declared,display_scores.english.spammer,display_scores.universal.astroturf,display_scores.universal.fake_follower,display_scores.universal.financial,display_scores.universal.other,display_scores.universal.overall,display_scores.universal.self_declared,display_scores.universal.spammer,raw_scores.english.astroturf,raw_scores.english.fake_follower,raw_scores.english.financial,raw_scores.english.other,raw_scores.english.overall,raw_scores.english.self_declared,raw_scores.english.spammer,raw_scores.universal.astroturf,raw_scores.universal.fake_follower,raw_scores.universal.financial,raw_scores.universal.other,raw_scores.universal.overall,raw_scores.universal.self_declared,raw_scores.universal.spammer,user.majority_lang,user.user_data.id_str,user.user_data.screen_name
0.8054784364249085,0.8060512678410475,1.0,3.0,1.7,3.8,3.8,0.4,1.2,1.0,2.1,2.0,3.4,3.4,1.1,0.6,0.19,0.61,0.34,0.77,0.77,0.09,0.23,0.21,0.42,0.39,0.69,0.69,0.22,0.12,ar,1521743663730200578,rymaaaaa8
0.8036706514015852,0.8060512678410475,1.0,3.0,1.7,3.8,3.8,0.4,1.2,1.0,2.1,2.0,3.4,3.4,1.1,0.6,0.19,0.61,0.34,0.76,0.76,0.09,0.23,0.21,0.42,0.39,0.69,0.69,0.22,0.12,ar,1521743663730200578,rymaaaaa8
0.8021481695167405,0.4658392474232361,0.8,1.0,0.2,3.8,3.8,0.0,0.2,0.8,0.4,0.0,1.2,0.4,0.1,0.0,0.16,0.19,0.03,0.75,0.75,0.01,0.04,0.16,0.08,0.0,0.23,0.09,0.02,0.0,ar,885037309229498368,8i0ill_1988
0.8670116134145492,0.7089830786080018,1.9,1.3,0.7,4.5,4.5,0.2,0.2,1.8,0.7,0.2,1.8,1.0,0.0,0.2,0.38,0.26,0.14,0.9,0.9,0.03,0.05,0.35,0.14,0.03,0.36,0.2,0.0,0.04,ar,1266405434803605504,Nowara2021
0.8912318555080615,0.8074910771589409,0.0,3.1,0.3,4.6,4.6,4.2,2.8,0.1,2.3,0.1,3.6,3.6,3.6,2.2,0.0,0.62,0.06,0.93,0.93,0.84,0.57,0.02,0.47,0.02,0.71,0.72,0.72,0.43,ar,1509636315100463106,Hellofriendag
0.816204310368583,0.8068955728616037,1.3,2.7,1.8,4.1,4.1,0.4,0.9,1.1,2.7,1.4,3.6,3.6,0.2,1.0,0.26,0.54,0.37,0.81,0.81,0.07,0.18,0.22,0.53,0.29,0.71,0.71,0.05,0.2,ar,1519805768983355393,abwfhd11174785
0.8199148539199458,0.8068955728616037,1.4,2.8,1.9,4.1,4.1,0.4,0.9,1.2,2.6,1.4,3.6,3.6,0.2,1.0,0.28,0.55,0.38,0.82,0.82,0.07,0.18,0.23,0.52,0.28,0.71,0.71,0.05,0.19,ar,1519805768983355393,abwfhd11174785
0.8748575042966269,0.8115094045580712,0.8,2.8,2.1,4.6,4.6,0.3,0.7,0.8,1.8,1.2,3.8,3.8,0.7,0.4,0.15,0.55,0.42,0.91,0.91,0.06,0.14,0.15,0.36,0.25,0.76,0.76,0.14,0.08,ar,1502373164269113350,hnoa1233
0.8100783815308749,0.8054092120440788,0.1,3.4,0.4,4.0,4.0,1.7,2.2,0.1,2.7,0.2,3.3,3.3,2.5,2.6,0.02,0.68,0.07,0.79,0.79,0.34,0.45,0.02,0.54,0.05,0.66,0.66,0.5,0.51,ar,1474112017493643273,mahthoof_
0.8524047631581662,0.8808312676897403,1.4,3.8,2.0,4.4,4.4,0.4,1.2,1.2,4.6,2.0,3.8,4.6,0.9,1.2,0.28,0.77,0.39,0.88,0.88,0.08,0.24,0.24,0.92,0.4,0.77,0.92,0.18,0.24,ar,833789169562378241,makskskshhj
0.7998362042473794,0.8052444082217497,0.2,2.8,0.7,3.6,3.6,0.3,1.8,0.4,3.0,0.2,2.4,3.0,0.3,1.4,0.05,0.56,0.14,0.73,0.73,0.06,0.37,0.07,0.6,0.03,0.49,0.6,0.06,0.28,ar,1434582512760725504,nUJHPhIhDq28B6B
0.8524047631581662,0.8808312676897403,1.4,3.8,2.0,4.4,4.4,0.4,1.2,1.2,4.6,2.0,3.8,4.6,0.9,1.2,0.28,0.77,0.39,0.88,0.88,0.08,0.24,0.24,0.92,0.4,0.77,0.92,0.18,0.24,ar,833789169562378241,makskskshhj
0.8524047631581662,0.8808312676897403,1.4,3.8,2.0,4.4,4.4,0.4,1.2,1.2,4.6,2.0,3.8,4.6,0.9,1.2,0.28,0.77,0.39,0.88,0.88,0.08,0.24,0.24,0.92,0.4,0.77,0.92,0.18,0.24,ar,833789169562378241,makskskshhj
0.8524047631581662,0.8808312676897403,1.4,3.8,2.0,4.4,4.4,0.4,1.2,1.2,4.6,2.0,3.8,4.6,0.9,1.2,0.28,0.77,0.39,0.88,0.88,0.08,0.24,0.24,0.92,0.4,0.77,0.92,0.18,0.24,ar,833789169562378241,makskskshhj
